index,Title,Opinion,Place,Gender,Age,Country,Date,Label
220,"""Parada interesante pero de una sola vez""","""El lugar generalmente está lleno, está estrecho y no se permiten fotos con fallas y mucha gente lo hace, por lo que no hay control del lugar.""",Museo de las Momias,Male,36,México,24/12/2016,2
221,"""Miedo""","""No me gustó ver a las momias me dio miedo no es para personas sensibles hay hasta bebitos :( . El sitio está en perfectas condiciones . Te dan la explicación adentro del Museo está muy bien establecido. Si te gusta este tipo de cosas pues si es recomendable.""",Museo de las Momias,Female,30,Paraguay,03/07/2016,2
222,"""Temática interesante/Museo incompleto""","""Fue muy decepcionante. La temática es súper interesante y es una lástima que no se invierta en la estructura del lugar. También hace falta más información sobre las momias, su descubrimiento, las condiciones del lugar donde originalmente se encontraba, el proceso de momificación natural, etc. Deberían invertir en mejorar este museo y hacerlo más informativo, que se pueda aprender sobre la descomposición del cuerpo humano y sobre la vida en la época en la que los difuntos vivieron, no sólo exponer cuerpos momificados para el morbo de la gente y ya. Y por favor, que le digan a los vendedores que se paran junto a la tienda del museo que no sean tan vulgares, por que cuando fui al baño y me vieron esperando afuera de las instalaciones dijeron cosas asquerosas sobre cómo serían mis genitales y de lo mucho que disfrutarían haciéndome no sé qué. ¡POR DIOS, qué estupidez y qué incómodo! Que los calmen o que de plano los quiten de ahí.""",Museo de las Momias,Female,34,Alemania,07/07/2015,2
223,"""Esperaba más""","""La verdad no vale mucho la pena, ya que dejaron muy pocas momias. 50 pesos aproximadamente y está carísimo por lo visto.""",Museo de las Momias,Male,-1,México,19/12/2016,2
224,"""Algo grotesco pero algo interesante""","""No es mi tipo de museo. Es grotesco pero podría haber sido peor. La visita es de solo 20 minutos. Es de las cosas que hay que ver en Guanajuato. Pero no obligado.""",Museo de las Momias,Male,57,Colombia,03/11/2017,2
225,"""Para ser museo le falta formalidad""","""Llama la atención por ser el museo de las momias y la experiencia es complicada de encontrar, pero de museo real tiene poco. No hay organización en su contenido, no información suficiente. Es caro. Más una atracción atrapa turistas que una aportación cultural.""",Museo de las Momias,Male,42,Chile,31/01/2017,2
226,"""Un Must Go de Guanajuato""","""Pasé varias veces por allí sin darme cuenta que este era el callejón. Lo más bonito es la historia, puesto que si bien el lugar es pintoresco, y los balcones parecen de un cuento de hadas, por como se lo ve en la ciudad parecería estar un poco sobredimensionado. De todas formas, no lleva mucho tiempo verlo, estando en Guanajuato hay que ir si o si.""",Callejón del Beso,Male,25,Argentina,14/09/2012,3
227,"""Esperaba más""","""Aunque es un clásico del destino, la colección de momias en exhibición es limitada, sinceramente esperaba más del lugar. No te permiten tomas de fotos o video a menos que pague la cuota para ello. La visita a este lugar está incluida en casi todos los tours de la ciudad, así que seguramente las visitaras. De acceso complicado si llegas por tu cuenta, pero esta muy bien señalado el trayecto.""",Museo de las Momias,Male,60,México,26/05/2016,3
228,"""Ir en callejonada""","""Lo recomendable es cuando vienes a una boda para que te cuenten la historia por que bien puedes pasar por ahí de día y no darte cuenta pero si vas con rondalla es mas bonito ademas de que es un lugar muy tranquilo y vigilado por la policía así que no hay riesgo de nada, más eso si fíjate al caminar hay muchos escalones y podrías caerte.""",Callejón del Beso,Female,31,México,10/04/2013,3
229,"""¡Un poco descuidado, urge una modernización!""","""Iba con muchas expectativas por conocer el mundialmente famoso museo de las momias de Guanajuato. Cuando llegamos, desde la entrada se observa la falta de mantenimiento y un monton de localitos improvisados. Ya adentro se notó más el descuido, como si el tiempo se detuvo y no le han echo un cariñito en años. La explicación del guía estuvo aceptable, y efectivamente las momias impresionan, pero para la fama con la que cuenta el museo, Deja mucho que desear en cuanto parece cualquier museito de pueblo. La tienda de souvenirs es pobre y la entrada es cara. Creo que urge modernizarlo.""",Museo de las Momias,Female,49,México,04/02/2013,3
230,Para saber de la infancia del afamado muralista,"Se trata de la casa paterna de Diego Rivera, adaptada como museo. Da una idea de la vida de Diego en la infancia. En realidad hay más elementos de arte de otros artistas que del mismo Diego.",Casa de Diego Rivera,Male,-1,Colombia,2016,3
231,"""Romance""","""La leyenda que cuentan del lugar hace que la gente se enamore del sitio y de si mismos.""",Callejón del Beso,Male,55,México,19/02/2012,3
232,No esta mal pero no es lo mejor de Guanajuato,"Este museo ha sido mejorado por el estado en los últimos años y presenta cosas interesantes con las momias que allí se preservan, sin embargo, Este no es el mejor museo y por mucho que hay que visitar en esta ciudad que está llena de historia y de museos e Iglesias. Este museo podría pasar desapercibido con tantas otras cosas que ver. Si tienes el tiempo para ir y hacer ejercicio para subir hasta el museo seguramente será algo entretenido",Museo de las Momias,Male,-1,México,2019,3
233,"""Un poco decepcionante""","""En realidad las momias están en cuartos muy pequeños. Los espacios reducidos no permiten contemplar lo que está expuesto. Tenía otras expectativas.""",Museo de las Momias,Female,35,México,05/04/2012,3
234,"""Mejorable""","""Es una visita obligada en Guanajuato, pero tiene un problema, las largas filas para sacar las entradas, que según la época pueden ser de hasta tres horas. En nuestro caso duro una hora, por incompetencia de las taquillas, había tres pero solo una despachaba los boletos y además era nuevo con lo que no avanzaba. Esa cola podría haber sido 10 minutos tan solo con ser diligentes. El interior es muy curioso e impactante y si merece la pena visitarlo. Las momias de los niños, a mí me impactaron en exceso. VISITA OBLIGADA, pero, cuidado con las colas para los boletos.""",Museo de las Momias,Male,63,España,14/02/2016,3
235,"""Variedad de artesanías""","""Como su nombre lo dice es un mercado, más que nada de artesanías y productos locales, los precios no son muy altos y encuentras varias cosas, en los primeros puestos hay ropa, juguetes etc. y más atrás se encuentra la comida.""",Mercado Hidalgo,Male,30,México,02/06/2016,3
236,"""Vale la pena verlo una vez""","""Es interesante ver la historia de las momias pero el lugar tiene mucha gente, el algo caro para lo que ofrece y no permiten tomar fotos a menos que pagues extra. En mi opinión: Vale la pena conocerlo como parte de los principales atractivos de Guanajuato pero nada más.""",Museo de las Momias,Female,17,México,12/06/2017,3
237,"""Visita obligada sólo si vas con pareja""","""Si vas en un viaje romántico tienes que pasar por el callejón y tomarte una foto, es parte de la leyenda de Guanajuato. Cuando yo fui en abril estaba vacío y no había ningún vendedor. Si vas solo o con amigos no es tan atractivo.""",Callejón del Beso,Male,40,Chile,28/07/2014,3
238,"""Hay que conocerlo""","""El museo no es muy grande, pero lo que si es cierto es que se puede ver la mayor cantidad de momias en excelente estado de América latina. Un lugar 'raro', pero que vale la pena conocer.""",Museo de las Momias,Female,65,Argentina,30/01/2015,3
239,"""Nada espectacular""","""Es un paseo rápido con una linda vista de guanajuato desde el fonicular y desde el monumento. Vale la pena sólo por la vista.""",Monumento Pípila,Male,37,República Dominicana,02/11/2017,3
240,"""Punto de reunión""","""Es el punto de reunión por excelencia, de ahi puedes salir a la tradicional callejoneada a un paseo de leyendas o simplemente pasar una tarde agradable disfrutando el movimiento del centro histórico, cerca de ella están muchos sitios de interés y ofrece la venta de pinturas de varios artistas a buen precio y de muy buen diseño.""",Jardín de la Unión,Male,26,México,09/01/2013,3
241,Un buen día,"Comida muy rica, personas muy amables tienen muchas artesanías, los precios son muy buenos y esta muy céntrico",Mercado Hidalgo,N/I,-1,México,2019,3
242,"""Decepcionó""","""La verdad, me decepcione un poco con mi visita al callejón del beso, a pesar de ser algo con tanto valor dentro de la cultura de Guanauato, el callejón no es más que otro de los bellos callejones de Guanajuato. vale la pena visitarlo, pero no tengas grandes expectativas.""",Callejón del Beso,Male,18,México,26/11/2012,3
243,"""Como las momias, sobrevalorado""","""Si, esta bien conocerlo, darte un beso en el tercer escalon para que no te caiga la maldicion de los 7 años y visitarlo porque es una de los lugares obligatorios. Pero la verdad, la leyenda no tiene logica, pero lo mas importante, no tiene nada de romantica. En fin, si tienes que ir, pero no tiene chiste.""",Callejón del Beso,Male,44,México,23/08/2012,3
244,Parque muy pintoresco,Lugar donde encontrar lugares para comer o simplemente para tomar el café. De repente se torna un poco ruidoso debido a los grupos musicales que encontraras ahí. Para ser un parque muy céntrico e importante le falta atención en la limpieza.,Jardín de la Unión,Male,-1,México,2019,3
245,"""Linda vista""","""Desde este lugar se puede apreciar una linda vista de la ciudad. Lo malo es que esta lleno de vendedores, los alrededores muy sucios. Hay un restaurante para disfrutar la vista que está sucio y descuidado. Una lástima. Si cuidarán mejor el mantenimiento y la limpieza de la zona sería una experiencia más memorable.""",Monumento Pípila,Female,33,México,30/12/2016,3
246,"""Detalle turístico""","""Es un detalle turístico, un lugar obligado (especialmente para las mujeres) cuando uno visita Guanajuato.""",Callejón del Beso,Male,40,México,01/05/2012,3
247,"""Normal""","""Es un lugar que tienes que visitar en Guanajuato pues es importante y cuenta una buena historia, sin embargo como luego se dice en gustos se rompen genéros, en lo personal no me parece gran cosa.""",Callejón del Beso,Male,17,México,15/01/2013,3
248,"""Un hermoso museo""","""Es un gran museo sobre la vida de Diego Rivera pero le falta atraer mas al visitante no solo basarse en el tiempo que el vivió ahí.""",Casa de Diego Rivera,Male,26,México,30/07/2015,3
249,"""Esta bien para conocer""","""Esta bien para conocer nada más... es sencillo y no hay mucho que ver. Esta bien para la foto emblemática de Guanajuato. Pero los vendedores son muy encimosos…""",Callejón del Beso,Female,24,México,13/10/2016,3
250,"""Poco que ver""","""Fuimos a conocer el teatro y la verdad no hay mucho que ver. Pensé que tendrían alguna exposición de arte o algo por el estilo, pero no, sólo está abierto al público para que puedas ver como es por dentro en teatro.""",Teatro Juárez,Male,23,México,24/07/2014,3
251,"""Me mareó""","""Hay que hacer mucha cola para entrar. Pero es muy interesante ver las momias. No estoy segura que causó mi mareo. Pero salí muy mareada.""",Museo de las Momias,Female,35,Nicaragua,25/05/2016,3
252,"""Especial museo por su contenido""","""Es un museo donde encuentras dentro de urnas de vidrio diferentes cuerpos momificados, esto se debe a los minerales de la tierra de Guanajuato, a mí en lo personal no me gustó, pero es algo característico de la ciudad.""",Museo de las Momias,Female,44,México,19/10/2015,3
253,"""Visita obligatoria""","""Ir a Guanajuato es ir a conocer las momias, la exposición es buena, cobran 56 pesos, mas 21 si quieres tomar fotos, mas la propina del guía, mas el coraje de turistas corrientes que insisten en tomar fotos con flash frente al letrero que indica no hacerlo.""",Museo de las Momias,Male,50,México,22/02/2016,3
254,Pueden Mejorar,"El museo está muy bien, las entradas en $85 más la propina del guía.

Lo malo, hacen grupos de demasiada gente, hay mucho amontonamiento y te llevan corriendo... al final no puedes apreciar a las momias porque los grupos van muy seguidos. Para alguien que va por primera vez es frustante.

No hay guías bilingües, así que los extranjeros se quedan sin ver ni entender nada. Son puntos que se deben mejorar.",Museo de las Momias,Female,-1,México,2018,3
255,"""¿Ya sabes quién era el Pipila?""","""Nada mejor que subir a este monumento, mientras alguno de los guías del lugar te habla de su historia, para que cuando llegues a la cima, tengas una fracción de la vista tan hermosa de Guanajuato.""",Monumento Pípila,Male,60,México,18/01/2013,3
256,"""Una linda historia""","""Uno de los tantos callejones de esta hermosa ciuadad colonial. Adornada por una linda historia, sobre tres escalones y un amor fatdico. Nada sorprendete.""",Callejón del Beso,Female,45,España,08/02/2018,3
257,"""Muy singular""","""¡Olía a orines! Además estaba muy sucio con bastante basura.""",Callejón del Beso,Female,30,México,26/01/2012,3
258,"""Bonita fachada""","""El mercado en si es como cualquier mercado del país, pero con muchos souvenires, si no tienes tanto tiempo para estar en guanajuato te lo puedes saltar. Aunque la fachada esta muy padre y la primera vez que lo vi pensé que era un gran templo.""",Mercado Hidalgo,Female,-1,México,21/10/2015,3
259,"""Estrecho callejón, muchos turistas""","""Es un callejón muy estrecho, tal vez un metro de ancho. Si vas por la calle de arriba tal vez lo pasas por alto, pues no tiene indicaciones. Desde la calle de abajo se ve la entrada al callejón, con las escaleras y los balcones de la historia. El lugar en sí no tiene mayor atractivo, se puede pagar una módica cuota para subir a los balcones. Hay quienes ponen un candado como símbolo de su amor. Y lo tradicional es tomarse una foto en el tercer escalón, dándose un beso con la pareja. Lo malo es que con tantos turistas y en un espacio tan reducido, a veces se puede demorar un largo rato para tomarse la foto, entre la fila de gente que espera su turno y la gente que viene bajando desde la calle de arriba.""",Callejón del Beso,Male,45,México,31/05/2017,3
260,"""Afuera apesta a orina""","""Nuevamente, afuera apesta a orina!!! Sería bueno que por lo menos echaran cloro o vinagre una vez a la semana o algo así porque es un olor muy muy penetrante, las dos veces que he ido a sido lo mismo.""",Mercado Hidalgo,Male,36,México,03/12/2016,3
261,"""Un lugar para visitar siempre que vamos a Guanajuato""","""Cada vez que vamos con la familia a Guanajuato visitamos el callejón del beso, es bueno conocer la leyenda y disfrutar de un beso con mi esposa.""",Callejón del Beso,Male,51,México,14/04/2017,3
262,"""Museo de momias""","""El museo fue remoledado por lo que ya no es como antes en donde se veía a todas las momias en un sólo pasillo ahora se puede observar a menos momias y bien clasificadas con su historia. Vale la pena visitar aunque ya no es como antes.""",Museo de las Momias,Male,36,Chile,15/11/2015,3
263,"""Buen museo pero muy solo""","""Se me hizo un poco caro el cobro por que no hay mucho material que ver en la parte de abajo, pero no por eso deja de ser interesante, no deben perderse la visita tu es que ya estan en Guanajuato.""",Alhóndiga,Female,30,México,23/11/2012,3
264,Lastima muy sucio y cerrado por el GIFF,"Es una contrucción bella, lastima que no se pudo entrar por tanta gente del GIFF y escalinatas muy sucias.",Universidad de Guanajuato,Male,-1,México,2018,3
265,"""Experiencia normal""","""Es un callejón común, no tiene nada de extraordinario. Lo único bueno fue la tiendita de recuerdos que hay ahí. Se congestiona mucho, y en realidad no hay nada que ver…""",Callejón del Beso,Female,20,México,22/10/2016,3
266,"""Bien para visita corta""","""Está bien para ver obras y bosquejos, pero falta explicación y guías. La casa está bien remodelada pero falta contar un poco de su historia.""",Casa de Diego Rivera,Male,35,México,01/01/2016,3
267,"""Regular""","""Es más interesante lo que te cuenta le leyenda que lo que realmente disfrutas. Estar allí es oler orines y mirar a la gente besarse en ese ambiente no es nada agradable.""",Callejón del Beso,Male,37,México,17/12/2012,3
268,"""Lugar interesante""","""Es un mercado tipico de México, en donde se pueden encontrar curiosidades, fruta, souvenirs, comoda para estomagos aventureros, vale la pena darse una vuelta para conocerlo.""",Mercado Hidalgo,Male,20,México,24/07/2017,3
269,"""Más Leyenda""","""Hay que hacer una fila eterna para subir al escalón indicado, pero el romanticismo de la leyenda lo vale.""",Callejón del Beso,Female,23,México,17/03/2015,3
270,"""Debemos conservarlo mejor""","""Es un lugar emblemático y obvio toda la gente espera poder sacar una foto... pero esta lleno de guías que deberían estar mejor organizados y hacer dos filas o algo así.... las paredes esta rayadas por gente q no respeta... vendedores ambulantes y huele muy feo... de verdad es una lástima por q este lugar es pintoresco y su leyenda te invita a querer vivir tu propia historia de amor...""",Callejón del Beso,Female,39,México,03/09/2017,3
271,"""Demasiado saturado""","""Es una visita tipica, pero el xallejon es muy angosto y no hay organización, los visitantes pueden llegar desde la calle de arriba o la de abajo y se aglomeran en la pequeña escalera porque todos quieren foto en el tercer escalón, la verdad no lo disfrute para nada.""",Callejón del Beso,Female,29,México,21/07/2017,3
272,"""Obligado si vas en pareja""","""El callejón no tiene nada de particular más que lo pequeñito y la leyenda, es obligado tomarse la foto si vas en pareja. Lo que no me gusto es que te caen encima los ""guias"" que no te dejan ni acercar por tu cuenta.""",Callejón del Beso,Female,39,México,11/07/2012,3
273,"""Para la vista panorámica""","""Buen paseo con mi esposa, después de agarrar el funicular (muy caro por subir tan poquito). Pues vale la pena ir si hay tiempo y si quieren descubrir Guanajuato desde las alturas. Está bonito y arriba hay bares y restaurantes para sentarse a gusto y disfrutar de la vista. No es la gran cosa pero es agradable.""",Monumento Pípila,Male,33,México,26/09/2017,3
274,"""La casa de Diego""","""Es cierto que es un personaje que forma parte, de alguna manera de nuestra hisrtoria, pero nada mas.""",Casa de Diego Rivera,Male,61,México,13/03/2012,3
275,"""Museo de momias""","""Es mi segunda visita al museo de las momias y sigo con la misma opinión, hace falta mejorar MUCHOS aspectos cómo; la limpieza, el servicio, la información y la estética del lugar. Hay mucho turismo y sería bueno que el capital fuera destinado para el mejoramiento del museo.""",Museo de las Momias,Female,21,México,10/01/2018,3
276,"""Visita obligada al mítico Museo de las Momias""","""En verdad todo turista tiene que visitar el museo de las Momias de Guanajuato, a diferencia de otro tipo de momias estas, están momificadas por un proceso natural, es verdad el museo no es el mejor del mundo en instalaciones y hasta falta de organizacion cuando la cantidad de turistas son demasiados, lo que si es verdad que dejando de lado las instalaciones es una visita que llevara tu mente al pasado desde el momento que vas la primera momia su vestimenta.""",Museo de las Momias,Male,41,México,22/03/2017,3
277,"""Mucha sombra""","""Para mi gusto han dejado crecer mucho el follaje de los arboles que aunque estan bien podados esto hace que los restaurantes ubicados en la plaza esten muy sombrios.""",Jardín de la Unión,Male,-1,México,29/05/2016,3
278,"""Obra de los inicios de Diego""","""Según entiendo no vivió mucho tiempo en esa casa, sin embargo, en el último piso tienen obra de Diego donde se pueden ver los inicios de este gran artista, vale la pena por eso.""",Casa de Diego Rivera,Female,26,México,14/06/2012,3
279,"""Sólo por dato cultural""","""La verdad no es la gran cosa pero pues es un punto que se tiene que visitar si se va con la pareja ya que es tradición, si no se va con pareja ni para que dar la vuelta. Hay mucha gente local que te cobran por contarte la historial del callejón.""",Callejón del Beso,Male,49,México,26/07/2014,3
280,"""Excelente conservación pero esperaba algo más""","""Visité por primera vez el edificio y me fué grato observar que el inmueble se encuentra en excelentes condiciones de conservación, sin embargo siendo amante de la historia siento que sus salas cuentan con material histórico insuficiente comparado con otros museos que emplean ese tipo de inmuebles para tal motivo. Creo que se podría ampliar la información histórica del mismo ,sin embargo es uno de los lugares que no se pueden dejar de visitar en esa ciudad por lo representativo de la etapa de la guerra de Independencia.""",Alhóndiga,Female,34,México,05/02/2012,3
281,"""Interesante""","""Es un lugar lleno de historia que nos remonta al pasado, con bonitas pinturas y ademas esta en el corazon de la ciudad cerca del centro vale la pena conocerlo.""",Alhóndiga,Female,43,México,15/08/2012,3
282,"""¡Hermosa vista, lástima por la inseguridad!""","""Sin duda la mejor vista de la ciudad, recomiendo mucho llegar por el funicular ya que el tráfico del lugar el terrible, muy triste la nula seguridad que hay en el lugar, con muchos borrachos y agresivos que le restan mucho encanto al sitio.""",Monumento Pípila,Female,28,México,09/04/2015,3
283,"""Tienes que ir, pero no vale tanto la pena""","""Igual es un lugar al que tienes que ir por tradición, pero, no es lo que esperaba, mi madre comentó que ya no están tan conservadas como antes, que eran más, tienes que esperar para pasar casi dos horas, están mal organizados, algunas momias si te impactan, pero es mucho tiempo esperando para lo que ves.""",Museo de las Momias,Female,25,México,22/03/2017,3
284,"""Un edificio lleno de historia""","""El edificio es bonito y cuando fui había exposiciones de la época prehispánica, la independencia y una de fotografía. En la exposición sólo se explica que funcionó como fortaleza, pero no hay explicación de su funcionamiento como cárcel. Tal vez vale más la pena cuando vas con un guía.""",Alhóndiga,Female,35,México,17/02/2014,3
285,"""Guanajuato limpio""","""Sugiero que las autoridades se preocupen por tener mas limpia la ciudad, los centros de mayor afluencia tener personal que de forma permanente mantengan sin basura.""",Museo de las Momias,Male,54,México,23/04/2012,3
286,"""Morbo""","""Creo que la mayoría vamos por el morbo, sólo sirve conocer para que nadie te cuente. No me gusta el morbo, no volvería a ir.""",Museo de las Momias,Male,-1,México,12/10/2012,3
287,"""Muy regular, sólo por curiosidad vale la pena ir""","""Nada extraordinario y mas bien un poco morboso el rollo. El recorrido es pobre y corto y el sentimiento generado no es para nada agradable.""",Museo de las Momias,Male,38,México,29/03/2017,3
288,Algo Diferente,"La verdad es que no habíamos incluído a Guanajuato en nuestro recorrido por México, pero estando en Querétaro nuestra súper anfitriona nos dijo que teníamos que ir. Si vas a Guanajuato es imposible irse sin ver las momias; Soy fan de las películas de terror asi que para mí era parada obligatoria. Debo decir que la entrada me pareció algo elevada para lo pequeño que es el museo, pero entiendo que tienen que mantenerlo. El interesante todo el proceso de momificación y obviamente ver a las momias y lo conservadas que están algunas de ellas es impresionante.",Museo de las Momias,Female,-1,Panamá,2018,3
289,"""Sin mucha luz""","""Es un museo que conserva muy bien las momias, pero esta poco iluminado y poco explicado el recorrido.""",Museo de las Momias,Female,39,España,11/02/2015,3
290,"""Buena vista""","""Lo mejor de subir al Pípila fue la vista, en realidad no me gustó mucho sólo que son de las cosas que tienes que hacer, subí por el funicular que a pesar de no ser temporada alta tenía una fila de 1 hora, al llegar subí hasta el balcón con cristal que te cobran $10 pesos aproximadamente que me pareció muy descuidado, lo mejor es que vi el atardecer y con eso valió la pena. El lugar esta descuidado y deberían tenerlo hermoso por ser uno de los lugares iconos de Guanajuato.""",Monumento Pípila,Female,37,México,18/02/2014,3
291,"""Conocer por conocer""","""Realmente no es tan interesante, esta bien como para ir a conocer y no son momias, son cuerpos deshidratados... esta bien para conocer pero no es la gran cosa. (Opinión personal)""",Museo de las Momias,Male,26,México,25/07/2017,3
292,"""Lugar a visitar""","""Si estas en Guanajuato tienes que visitar la Alhóndiga ya que es parte fundamental de la historia de Guanajuato y México Independiente, tiene muy buenos murales que te narran la historia de una manera sobrecogedora, no es muy grande así que puedes darte tiempo en cada una de las salas para leer con tranquilidad lo que te interese ya sea la cronología de la Guerra de Independencia o las fotografías, lo único es que todo esta en idioma Español y si eres un extranjero que hablas otro idioma te aconsejo que consigas un guía o leas antes sobre este lugar.""",Alhóndiga,Female,38,México,18/02/2014,3
293,"""Bueno""","""En este paseo sólo doy 3 estrellas, la razón es porque a pesar de ser una de las mayores atracciones de la ciudad no estoy de acuerdo que se lucre con los cuerpos de gente qué a fallecido además de que en mi opinión lo consideró morboso, pero es mi opinión eso lo dejo a discreción de cada persona individualmente.""",Museo de las Momias,Male,29,Estados Unidos,07/01/2016,3
294,"""Poco interesante""","""Realmente esperaba algo mejor, los recorridos que realizan no explican más allá del proceso de momificación, lo cual hace que se pierda el encanto. Antes solían explicar la historia de cada una de las momias.""",Museo de las Momias,Male,35,México,13/08/2014,3
295,"""Impactante""","""El museo de las momias expone unos 100 cadáveres de principios del siglo XX, bien conservados debido al proceso de deshidratación natural que sufren en el panteón de Guanajuato. Impactan los cadáveres de niños y las fotos de sus madres con el cadáver en brazos.""",Museo de las Momias,Male,52,España,07/02/2016,3
296,"""Interesante""","""Interesante museo aunque un poco pequeño, vale la pena ir para conocer y observar las momias, cuenta con estacionamiento y está el servicio del guía que es de coloración voluntaria.""",Museo de las Momias,Male,31,México,11/09/2016,3
297,"""Fuimos en una época con mucho movimiento""","""Pero aún así deberían cuidar mas la basura que se genera, no dieron ganas de quedarse mucho tiempo ahí, hay mucho guía de turistas que te aborda vendiendo tours, pero poca gente de turismo que realmente te ayude con dudas de comida o lugares.""",Jardín de la Unión,Female,21,México,27/12/2017,3
298,"""Para mirar Guanajuato""","""Es un monumento situado hasta las arribas del cerro en Guanajuato, lo bonito de este lugar es la panorámica donde se puede ver toda la ciudad.""",Monumento Pípila,Male,18,México,19/08/2016,3
299,"""Visita gastronómica y artesanal obligada""","""Este bello inmueble construido en el ocaso del Porfiriato y con motivo de la celebración del centenario de la Independencia de México es sin duda el mas bello en su tipo de México.

En su planta baja se venden frutas, verduras etc. y en la planta alta se puede disfrutar de gastronomía mexicana y adquirir artesanías.""",Mercado Hidalgo,Male,43,México,09/09/2012,3
300,"""Templo sencillo, notable iluminación de noche""","""La Basílica de Guanajuato es el corazón de la ciudad. La arquitectura es sencilla, el exterior es mayormente liso en color ocre, sólo la portada y las torres tienen ornamentación. El altar principal es neoclásico, En sí el templo no es sobresaliente, lo más notable es la iluminación exterior de noche.""",Basilica Colegiata,Male,23,México,01/06/2017,3
301,"""Un beso más…""","""Clásico callejón del beso en Guanajuato, está padre para la foto del recuerdo. Al llegar regularmente hay alguien q te cuenta la historia del callejón y por q es tan famoso, en días festivos ( Semana Santa) llega a haber cola para la foto en el dichoso callejón.""",Callejón del Beso,Male,-1,México,18/04/2017,3
302,"""Buena""","""Se me hiso algo normal por lo menso en el peusto que selecione me parecio asi y apesar de que eramos poca gente no nos atendieron bien.""",Mercado Hidalgo,Male,-1,México,04/08/2012,3
303,"""Esperaba más""","""Creo que es una visita que tienes que hacer, ya que son 'las momias de Guanajuato', sin embargo lamentablemente no hay mucha explicación de su origen o su momificación, el museo es pequeño, literalmente lo recorres en diez minutos y como no está tan cerca del centro tardas más en llegar que en salir.""",Museo de las Momias,Female,18,México,23/06/2016,3
304,"""Es parte del checklist""","""El Callejón del Beso es una parte muy importante de la cultura guanajuatense, por lo que es parte de la lista de ""cosas por hacer"" en la ciudad. Es un espacio bonito donde puedes darle un beso a tu pareja para que, según la leyenda, estén siempre juntos. También puedes pasar a una de las casas y visitar el balcón de la leyenda. Cuando te vayas acercando al lugar mucha gente intentará contarte la leyenda del callejón por una propina. Te recomiendo que si no estás interesado en escucharla o ya la conoces, les cortes la conversación de inmediato para que luego no insistan con la propina.""",Callejón del Beso,Female,19,México,25/07/2016,3
305,"""Visita nocturna no recomendable""","""El Pípila es muy popular en Guanajuato ya que al llegar al monumento obtienes una vista inigualable de la ciudad. No tuvimos la oportunidad de entrar al museo ya que se encontraba cerrado a la hora que subimos. Mi esposo y yo decidimos subir en la noche para observar las luces de la ciudad, y aunque la vista es única y hermosa, el mirador no tenía nada de luz, estaba completamente obscuro y sólo. Era muy fácil que nos asaltaran por lo que solo estuvimos 5 min. Y nos fuimos. Pero la vista es sensacional. Nosotros subimos por el funicular y fueron $25 pesos por persona.""",Monumento Pípila,Female,30,México,12/02/2018,3
306,"""Historia""","""Su único gran valor e interés es la carga histórica que tiene para nuestro país. Si se es fanático de la historia es un punto obligatorio a visitar, si no lo es con mirarlo por fuera y saber donde esta es suficiente. La entrada acepta descuento de estudiantes y los domingos es gratis.""",Alhóndiga,Male,49,México,26/07/2014,3
307,"""Obligatorio""","""Si estás en Guanajuato o alrededores es una parada obligatoria. Simplemente por cultura general y no te llevará mucho tiempo. Es un lugar pequeño y por lo mismo hay que hacer fila. Está bien mantenido aunque falta algo de seguridad o protección para las momias. Al parecer el personal que te guía sólo es para grupos pues no me tocó un guía en específico y tenía que alcanzar al grupo de una escuela para poder escuchar la explicación.""",Museo de las Momias,Male,57,México,19/05/2016,3
308,"""Para tomar fotos panorámicas de la ciudad""","""El monumento esta ubicado en lo alto de una loma y el atractivo de este punto es la vista panorámica de la cuidad. Es un paseo que no te tomara mucho tiempo pues adicional a la vista no hay algo más que hacer en este punto.""",Monumento Pípila,Female,29,México,05/10/2015,3
309,"""Pequeño y diferente museo""","""Este es un pequeño museo que te permite observar varios cuerpos momificados. Al inicio hay un breve video que explica lo más básico del museo, luego inicia el recorrido, que a veces es confuso pues no existen señalamientos que indiquen el orden a seguir. En algunas vitrinas hay explicaciones y en otras sólo los nombres de las momias. Parecería que hay pocas momias, pero creo que son suficientes, ya que después de ver varias, no hay gran interés en seguir con lo mismo. El llamado 'pasillo de la muerte' está muy descuidado y no es interesante. Creo que el precio es alto para lo que ofrece el museo. Y además la entrada al baño tiene un costo extra. Pero a pesar de todo, se puede considerar un museo interesante, pues permite tener una idea muy ilustrativa de lo que es un cuerpo momificado. Si no llevas grandes expectativas, seguro lo disfrutarás.""",Museo de las Momias,Male,31,México,13/02/2015,3
310,"""Si no van, no se pierden de algo importante…""","""Este museo tiene más fama que lo que realmente ofrece al visitante, yo no regreso, me parece más interesante el panteón que el museo, además estacionarse está complicado.""",Museo de las Momias,Male,55,México,08/04/2012,3
311,"""Decepción""","""Realmente lo había visitado antes y ha perdido esplendor,está muy sucio,en mal estado,poco que ver.""",Mercado Hidalgo,Female,25,México,22/07/2012,3
312,"""Mucha gente y variedad de souvenirs""","""Había muchísima gente en el área de comida, personalmente no se me antojó comer allí. Sin embargo la planta de arriba está llena de tiendas de recuerdos y dulces. Me pareció que todo estaba a buen precio.""",Mercado Hidalgo,Female,-1,México,02/02/2017,3
